customer_id,age,tenure_months,orders,orders_last_90d,average_order_value,order_value_std,days_since_last_order,support_tickets,support_tickets_last_180d,returns,discount_order_share,newsletter_opens_last_90d,subscription_type,country,acquisition_channel,primary_device,snapshot_date,orders_in_outcome_window,churned,subscription_cancelled_at_export
CUST-011847,29.0,29.7,26,1,33.25,9.51,49.0,10.0,3,4,0.0,2,free,Ireland,social,mobile,2026-01-01,3,0,0
CUST-003955,,21.7,1,0,54.01,0.0,612.0,13.0,3,0,0.202,2,free,Spain,organic,desktop,2026-01-01,0,1,1
CUST-002255,37.0,11.3,15,2,24.81,9.09,23.0,0.0,0,1,0.219,8,free,Spain,social,mobile,2026-01-01,1,0,0
CUST-006254,34.0,19.9,14,2,24.15,1.61,29.0,6.0,1,1,0.098,7,free,United Kingdom ,organic,mobile,2026-01-01,5,0,0
CUST-002453,36.0,4.3,3,1,51.8,21.74,36.0,0.0,0,0,0.285,3,free,United Kingdom ,organic,mobile,2026-01-01,0,1,1
CUST-010025,33.0,3.7,2,0,48.47,24.2,34.0,0.0,0,0,0.098,1,free,Poland,paid_search,desktop,2026-01-01,4,0,0
CUST-004499,,9.5,10,5,80.68,29.56,5.0,4.0,4,2,0.218,5,basic,Spain,organic,mobile,2026-01-01,0,1,0
CUST-010222,44.0,7.0,4,2,33.76,10.74,63.0,8.0,7,0,0.0,1,free,Germany,organic,mobile,2026-01-01,5,0,0
CUST-010643,22.0,28.8,40,5,32.4,7.13,15.0,12.0,2,4,0.307,3,basic,DE,organic,desktop,2026-01-01,4,0,0
CUST-002974,43.0,35.3,17,2,65.81,33.56,6.0,13.0,5,2,0.009,0,FREE,United Kingdom,paid_search,mobile,2026-01-01,1,0,0
CUST-005710,43.0,27.5,25,3,67.09,19.77,125.0,0.0,0,5,0.369,2,basic,France,paid_search,desktop,2026-01-01,2,0,0
CUST-003838,46.0,21.9,56,7,45.24,9.76,33.0,1.0,1,12,0.129,2,premium,Germany,organic,mobile,2026-01-01,10,0,0
CUST-011645,50.0,17.7,36,3,48.77,13.06,19.0,0.0,0,0,0.277,8,BASIC,United Kingdom,social,mobile,2026-01-01,1,0,0
CUST-002320,46.0,28.1,9,1,98.71,28.71,60.0,1.0,0,0,0.361,3,free,Germany,paid_search,mobile,2026-01-01,1,0,0
CUST-005554,45.0,23.7,8,0,68.24,25.3,386.0,0.0,0,0,0.371,1,free,United Kingdom ,organic,mobile,2026-01-01,0,1,1
CUST-002391,46.0,16.9,0,0,,,-1.0,7.0,2,0,,6,free,Spain,paid_search,mobile,2026-01-01,0,1,1
CUST-003211,56.0,34.6,109,7,98.75,28.39,6.0,11.0,4,8,0.28,1,basic,Poland,organic,desktop,2026-01-01,10,0,0
CUST-003464,41.0,2.8,1,0,65.75,0.0,65.0,3.0,3,0,0.329,3,premium,United Kingdom,organic,tablet,2026-01-01,1,0,0
CUST-010292,43.0,30.2,53,8,42.87,19.12,44.0,0.0,0,5,0.326,1,free,United Kingdom,social,mobile,2026-01-01,8,0,0
CUST-007119,26.0,15.9,14,1,43.78,17.14,24.0,0.0,0,5,0.144,4,free,France,organic,desktop,2026-01-01,1,0,0
CUST-010453,18.0,33.7,42,0,72.04,16.58,297.0,14.0,3,7,0.288,2,FREE,United Kingdom,social,desktop,2026-01-01,0,1,0
CUST-004412,38.0,21.5,19,3,62.85,19.32,61.0,6.0,1,1,0.2,8,basic,United Kingdom,social,mobile,2026-01-01,4,0,0
CUST-007049,29.0,28.9,98,5,60.07,19.21,4.0,2.0,1,12,0.243,9,PREMIUM,Poland,organic,mobile,2026-01-01,11,0,0
CUST-002474,22.0,8.2,15,9,80.6,23.46,0.0,1.0,1,1,0.307,7,premium,GB,social,desktop,2026-01-01,3,0,0
CUST-000745,38.0,28.8,16,2,55.27,15.41,62.0,29.0,5,3,0.067,1,free,United Kingdom,organic,tablet,2026-01-01,0,1,1
CUST-007734,28.0,20.7,4,1,30.53,10.63,78.0,4.0,0,0,0.586,0,free,Spain,paid_search,desktop,2026-01-01,0,1,1
CUST-000358,,32.2,4,0,114.3,20.32,512.0,2.0,0,0,0.146,4,free,Poland,organic,desktop,2026-01-01,0,1,1
CUST-006276,53.0,3.0,10,9,31.55,11.2,38.0,2.0,2,1,0.327,4,basic,DE,referral,tablet,2026-01-01,5,0,0
CUST-011239,37.0,35.2,14,3,45.26,16.07,28.0,10.0,4,1,0.0,3,free,United Kingdom,organic,mobile,2026-01-01,2,0,0
CUST-005358,39.0,27.1,29,2,73.3,23.89,6.0,1.0,1,5,0.637,3,basic,Ireland,affiliate,mobile,2026-01-01,4,0,0
CUST-004465,30.0,16.6,0,0,,,-1.0,2.0,1,0,,8,free,United Kingdom,social,desktop,2026-01-01,0,1,1
CUST-004030,30.0,15.5,9,4,39.41,14.53,36.0,0.0,0,0,0.249,6,FREE,France,paid_search,mobile,2026-01-01,4,0,0
CUST-006499,,11.5,3,2,79.68,37.14,41.0,3.0,2,1,0.328,4,free,United Kingdom,paid_search,mobile,2026-01-01,1,0,0
CUST-003207,40.0,35.9,62,2,90.14,35.59,12.0,5.0,0,15,0.443,6,free,France,paid_search,desktop,2026-01-01,4,0,0
CUST-002686,45.0,17.8,7,1,38.73,11.68,18.0,3.0,1,0,0.237,1,free,United Kingdom,social,mobile,2026-01-01,1,0,0
CUST-004955,,14.1,42,5,44.57,13.84,23.0,0.0,0,12,0.25,1,BASIC,Ireland,organic,mobile,2026-01-01,8,0,0
CUST-002233,29.0,33.8,15,0,54.23,14.53,773.0,13.0,0,3,0.754,0,basic,Ireland,paid_search,mobile,2026-01-01,0,1,1
CUST-006115,41.0,7.9,8,1,46.33,11.97,15.0,1.0,1,1,0.47,2,FREE,France,social,mobile,2026-01-01,2,0,0
CUST-000933,58.0,10.0,12,2,72.0,19.96,6.0,5.0,4,2,0.149,3,basic,France,social,mobile,2026-01-01,2,0,0
CUST-008686,26.0,20.9,23,2,35.52,13.6,8.0,5.0,0,1,0.251,4,free,Ireland,paid_search,mobile,2026-01-01,3,0,0
CUST-009803,,23.1,5,0,85.58,35.71,352.0,16.0,4,0,0.407,5,free,Germany,organic,desktop,2026-01-01,0,1,1
CUST-004787,18.0,20.6,9,3,58.86,29.31,23.0,5.0,3,0,0.47,1,free,Spain,social,mobile,2026-01-01,2,0,0
CUST-002859,35.0,26.3,47,5,56.78,19.68,49.0,,0,6,0.295,5,free,United Kingdom,organic,mobile,2026-01-01,5,0,0
CUST-003155,29.0,3.4,3,3,51.26,13.85,23.0,1.0,1,0,0.482,4,free,Germany,organic,desktop,2026-01-01,3,0,0
CUST-011302,33.0,31.9,15,2,56.81,7.44,12.0,6.0,1,1,0.355,5,free,DE,paid_search,desktop,2026-01-01,4,0,0
CUST-011205,43.0,11.1,2,0,29.52,10.6,152.0,5.0,3,0,0.4,2,basic,United Kingdom,organic,tablet,2026-01-01,1,0,0
CUST-011574,47.0,31.7,59,2,47.36,14.53,41.0,7.0,3,13,0.328,1,free,Netherlands,affiliate,mobile,2026-01-01,6,0,0
CUST-003885,27.0,6.6,9,4,48.61,13.8,8.0,0.0,0,1,0.0,3,free,UK,paid_search,desktop,2026-01-01,4,0,0
CUST-007182,42.0,29.1,40,4,43.04,17.62,20.0,2.0,1,2,0.488,2,free,Ireland,paid_search,mobile,2026-01-01,9,0,0
CUST-005894,80.0,12.3,16,2,34.68,9.79,0.0,0.0,0,2,0.425,1,free,Netherlands,paid_search,mobile,2026-01-01,2,0,0
CUST-010330,41.0,23.7,13,0,59.04,16.59,415.0,1.0,0,5,0.514,2,free,United Kingdom,paid_search,desktop,2026-01-01,0,1,0
CUST-002778,50.0,32.6,3,0,43.28,19.46,877.0,3.0,0,0,0.118,0,basic,Netherlands,paid_search,desktop,2026-01-01,0,1,1
CUST-008306,46.0,16.3,10,2,29.12,9.73,32.0,3.0,0,0,0.12,8,basic,Germany,paid_search,mobile,2026-01-01,0,1,1
CUST-007342,35.0,13.6,3,0,46.19,13.02,13.0,1.0,0,0,0.327,8,free,United Kingdom,referral,mobile,2026-01-01,1,0,0
CUST-003352,30.0,33.8,13,1,45.4,22.93,29.0,0.0,0,0,0.282,4,basic,Germany,affiliate,mobile,2026-01-01,1,0,0
CUST-005083,28.0,1.0,1,0,52.8,0.0,9.0,1.0,1,0,0.216,7,free,United Kingdom ,social,mobile,2026-01-01,0,1,1
CUST-005769,38.0,17.4,23,7,95.01,34.6,42.0,3.0,1,2,0.272,7,free,uk,organic,desktop,2026-01-01,5,0,0
CUST-003394,42.0,7.6,8,4,97.8,47.25,47.0,3.0,2,3,0.507,2,free,United Kingdom,paid_search,mobile,2026-01-01,2,0,0
CUST-009469,45.0,31.9,16,1,32.0,9.47,106.0,5.0,0,1,0.366,7,free,uk,organic,mobile,2026-01-01,2,0,0
CUST-009626,59.0,18.7,41,4,72.78,23.59,30.0,0.0,0,5,0.044,4,basic,France,social,mobile,2026-01-01,11,0,0
CUST-003502,38.0,23.4,33,3,70.81,8.96,10.0,0.0,0,2,0.157,6,free,France,organic,desktop,2026-01-01,5,0,0
CUST-000219,25.0,16.6,11,0,84.77,28.19,48.0,8.0,4,3,0.533,1,free,United Kingdom,organic,mobile,2026-01-01,1,0,0
CUST-008840,62.0,18.8,13,2,28.95,8.59,33.0,2.0,1,1,0.359,1,free,UK,affiliate,mobile,2026-01-01,6,0,0
CUST-011856,18.0,29.6,36,0,60.21,18.17,387.0,29.0,7,7,0.253,2,basic,United Kingdom ,paid_search,mobile,2026-01-01,0,1,1
CUST-007820,23.0,29.7,24,0,65.19,22.63,40.0,0.0,0,2,0.448,2,basic,Netherlands,paid_search,mobile,2026-01-01,1,0,0
CUST-001218,18.0,26.6,6,1,41.96,6.62,159.0,0.0,0,0,0.145,1,basic,Spain,social,mobile,2026-01-01,2,0,0
CUST-002175,40.0,9.1,3,0,59.87,14.65,188.0,0.0,0,0,0.341,2,free,United Kingdom,organic,mobile,2026-01-01,0,1,1
CUST-010607,20.0,19.4,16,3,49.82,23.28,23.0,1.0,0,0,0.409,2,free,Poland,social,mobile,2026-01-01,1,0,0
CUST-004623,46.0,29.9,3,0,63.42,21.69,778.0,0.0,0,0,0.407,0,free,Ireland,paid_search,mobile,2026-01-01,0,1,1
CUST-008374,62.0,4.6,11,10,57.88,16.77,15.0,0.0,0,0,0.268,5,premium,United Kingdom,paid_search,desktop,2026-01-01,6,0,0
CUST-009902,60.0,8.9,2,1,24.11,5.84,11.0,2.0,1,0,0.34,0,free,United Kingdom,affiliate,mobile,2026-01-01,2,0,0
CUST-005229,57.0,4.0,9,3,45.47,15.04,7.0,,0,0,0.149,0,premium,Spain,affiliate,mobile,2026-01-01,9,0,0
CUST-002251,63.0,18.7,38,10,31.52,9.54,8.0,0.0,0,3,0.118,5,free,DE,organic,mobile,2026-01-01,2,0,0
CUST-007586,18.0,1.8,1,0,76.83,0.0,22.0,0.0,0,0,0.469,3,premium,Poland,affiliate,mobile,2026-01-01,9,0,0
CUST-002129,44.0,3.2,4,4,99.8,42.24,45.0,3.0,3,1,0.38,0,free,France,paid_search,desktop,2026-01-01,8,0,0
CUST-003116,39.0,18.4,13,3,43.63,3.95,8.0,5.0,4,1,0.098,6,free,Netherlands,paid_search,mobile,2026-01-01,3,0,0
CUST-008635,40.0,29.4,13,1,42.74,14.18,93.0,1.0,1,1,0.579,7,free,United Kingdom,paid_search,mobile,2026-01-01,0,1,1
CUST-011580,51.0,17.2,10,2,40.75,11.49,43.0,0.0,0,1,0.174,2,free,Germany,organic,mobile,2026-01-01,4,0,0
CUST-008777,55.0,29.8,24,2,44.0,10.86,34.0,9.0,1,4,0.067,3,free,Netherlands,paid_search,mobile,2026-01-01,3,0,0
CUST-004194,38.0,2.3,1,0,62.15,0.0,26.0,0.0,0,0,0.034,1,free,germany,affiliate,mobile,2026-01-01,0,1,1
CUST-010707,43.0,22.9,37,2,37.74,11.93,22.0,0.0,0,3,0.189,3,basic,uk,organic,mobile,2026-01-01,1,0,0
CUST-003920,35.0,22.4,62,9,100.34,32.36,2.0,5.0,0,12,0.29,3,premium,Ireland,paid_search,desktop,2026-01-01,7,0,0
CUST-005884,18.0,8.7,15,3,46.66,17.08,2.0,2.0,1,0,0.183,5,free,Poland,referral,mobile,2026-01-01,4,0,0
CUST-007443,50.0,20.8,1,0,80.62,0.0,623.0,6.0,2,0,0.363,9,basic,DE,organic,mobile,2026-01-01,0,1,1
CUST-010511,50.0,21.5,12,1,55.67,18.97,88.0,0.0,0,3,0.309,3,basic,United Kingdom,social,mobile,2026-01-01,1,0,0
CUST-003990,,17.6,18,0,27.69,6.14,72.0,1.0,0,3,0.357,3,free,United Kingdom,paid_search,mobile,2026-01-01,3,0,0
CUST-005722,26.0,15.5,17,2,69.78,19.53,9.0,2.0,0,0,0.04,4,premium,France,paid_search,mobile,2026-01-01,8,0,0
CUST-004342,40.0,15.6,17,6,116.42,37.18,70.0,14.0,3,1,0.397,0,premium,Poland,paid_search,desktop,2026-01-01,1,0,0
CUST-006559,42.0,34.4,97,1,117.64,44.18,112.0,12.0,2,4,0.142,11,premium,France,organic,desktop,2026-01-01,0,1,1
CUST-004697,40.0,3.6,3,2,73.01,33.01,22.0,0.0,0,0,0.239,6,free,Germany,social,mobile,2026-01-01,1,0,0
CUST-003449,23.0,22.1,22,2,59.06,26.2,2.0,12.0,4,1,0.192,4,basic,United Kingdom,organic,mobile,2026-01-01,3,0,0
CUST-005713,26.0,17.2,1,0,51.9,0.0,499.0,4.0,2,0,0.405,2,basic,United Kingdom,organic,mobile,2026-01-01,0,1,1
CUST-000201,32.0,13.8,18,2,97.62,20.96,26.0,0.0,0,0,0.03,1,basic,Germany,affiliate,mobile,2026-01-01,2,0,0
CUST-010329,46.0,22.4,41,10,30.99,11.48,12.0,6.0,3,6,0.703,6,premium,United Kingdom,organic,desktop,2026-01-01,8,0,0
CUST-001143,19.0,33.5,38,4,61.18,25.9,1.0,0.0,0,8,0.037,10,free,Netherlands,organic,desktop,2026-01-01,3,0,0
CUST-002617,47.0,35.7,176,13,42.07,15.54,5.0,1.0,0,27,0.307,3,free,France,paid_search,mobile,2026-01-01,20,0,0
CUST-005866,59.0,20.7,20,3,66.32,32.27,37.0,3.0,0,5,0.344,6,basic,France,paid_search,tablet,2026-01-01,4,0,0
CUST-010934,42.0,28.8,15,4,43.48,19.31,203.0,4.0,0,3,0.35,2,basic,France,affiliate,mobile,2026-01-01,0,1,1
CUST-011601,58.0,32.1,5,0,59.72,16.49,777.0,4.0,0,0,0.208,1,free,France,paid_search,mobile,2026-01-01,0,1,0
CUST-011620,49.0,27.4,23,4,38.67,12.03,66.0,0.0,0,6,0.35,4,free,United Kingdom,affiliate,mobile,2026-01-01,2,0,0
CUST-003462,39.0,34.0,26,2,38.83,10.34,47.0,1.0,0,5,0.432,5,basic,United Kingdom,organic,desktop,2026-01-01,1,0,0
CUST-011272,45.0,24.4,40,5,44.49,11.96,19.0,0.0,0,0,0.254,1,premium,Germany,social,mobile,2026-01-01,3,0,0
CUST-004075,18.0,12.3,12,3,41.05,8.99,18.0,4.0,2,3,0.394,2,basic,United Kingdom,affiliate,desktop,2026-01-01,0,1,1
CUST-008704,39.0,3.4,0,0,,,-1.0,3.0,3,0,,9,free,United Kingdom,affiliate,mobile,2026-01-01,2,0,0
CUST-002610,39.0,29.9,18,2,46.23,14.22,8.0,0.0,0,1,0.161,9,premium,GB,paid_search,mobile,2026-01-01,2,0,0
CUST-008001,33.0,23.6,5,0,34.11,7.0,214.0,0.0,0,1,0.215,3,free,France,paid_search,desktop,2026-01-01,0,1,1
CUST-003335,46.0,3.5,7,7,127.75,31.9,2.0,0.0,0,0,0.388,8,premium,France,affiliate,desktop,2026-01-01,9,0,0
CUST-006450,,5.8,6,3,22.65,7.26,19.0,2.0,2,0,0.074,3,premium,Germany,affiliate,mobile,2026-01-01,0,1,1
CUST-004270,28.0,18.6,1,0,52.84,0.0,114.0,0.0,0,0,0.066,3,free,GB,referral,mobile,2026-01-01,1,0,0
CUST-007149,45.0,10.8,111,34,36.46,19.5,4.0,1.0,1,30,0.217,9,PREMIUM,DE,referral,mobile,2026-01-01,27,0,0
CUST-009941,23.0,21.0,30,1,118.85,22.05,14.0,3.0,0,7,0.438,1,basic,DE,organic,mobile,2026-01-01,7,0,0
CUST-009850,23.0,17.6,33,7,50.76,16.32,39.0,2.0,0,0,0.152,1,basic,Poland,organic,mobile,2026-01-01,7,0,0
CUST-006331,26.0,3.2,3,3,34.26,13.41,59.0,1.0,1,0,0.137,5,free,United Kingdom,social,mobile,2026-01-01,2,0,0
CUST-006312,39.0,12.6,15,2,58.09,9.26,13.0,1.0,0,0,0.357,3,premium,Germany,affiliate,mobile,2026-01-01,4,0,0
CUST-007676,34.0,2.4,3,1,49.07,14.18,6.0,0.0,0,1,0.267,0,free,Poland,social,mobile,2026-01-01,6,0,0
CUST-007718,40.0,25.7,29,3,72.51,28.14,10.0,16.0,3,1,0.235,0,basic,United Kingdom ,social,desktop,2026-01-01,2,0,0
CUST-004036,34.0,2.1,3,3,69.74,26.09,25.0,3.0,3,0,0.374,3,free,Poland,referral,desktop,2026-01-01,3,0,0
CUST-006951,42.0,25.1,27,4,55.22,20.73,50.0,10.0,2,5,0.259,1,FREE,Germany,organic,tablet,2026-01-01,4,0,0
CUST-000938,34.0,6.2,7,7,72.47,30.13,13.0,0.0,0,2,0.371,1,premium,France,organic,mobile,2026-01-01,8,0,0
CUST-002508,31.0,22.6,13,2,87.71,29.68,14.0,4.0,2,0,0.293,6,free,uk,social,mobile,2026-01-01,0,1,1
CUST-000248,41.0,15.5,7,0,51.83,13.69,163.0,4.0,3,0,0.16,0,basic,Poland,paid_search,mobile,2026-01-01,0,1,0
CUST-002448,30.0,23.6,8,1,30.57,10.84,11.0,7.0,2,0,0.413,9,free,Spain,organic,mobile,2026-01-01,2,0,0
CUST-006792,36.0,33.4,3,0,48.02,6.92,933.0,2.0,1,0,0.003,5,basic,United Kingdom,social,mobile,2026-01-01,0,1,1
CUST-003533,54.0,3.1,5,4,64.31,31.74,47.0,0.0,0,0,0.131,2,basic,Poland,organic,tablet,2026-01-01,6,0,0
CUST-004247,38.0,10.5,10,0,43.04,15.49,13.0,0.0,0,1,0.11,3,free,GB,paid_search,desktop,2026-01-01,1,0,0
CUST-006957,,7.0,6,0,38.1,14.98,14.0,0.0,0,0,0.27,5,free,United Kingdom,organic,mobile,2026-01-01,1,0,0
CUST-010035,34.0,28.4,2,0,89.65,22.55,812.0,3.0,0,0,0.317,9,free,UK,social,mobile,2026-01-01,0,1,1
CUST-011187,36.0,21.1,11,0,34.45,14.24,97.0,3.0,1,0,0.608,2,free,United Kingdom,paid_search,mobile,2026-01-01,0,1,1
CUST-002418,37.0,10.1,36,5,78.25,19.66,17.0,3.0,0,3,0.032,8,premium,Ireland,social,desktop,2026-01-01,0,1,0
CUST-006516,31.0,11.8,14,3,89.84,48.33,24.0,0.0,0,1,0.237,4,free,Spain,social,desktop,2026-01-01,3,0,0
CUST-007747,18.0,29.5,25,0,42.81,18.45,95.0,0.0,0,2,0.103,0,basic,Ireland,referral,tablet,2026-01-01,0,1,0
CUST-010838,36.0,6.1,10,6,74.93,38.37,2.0,0.0,0,3,0.469,5,free,Germany,affiliate,desktop,2026-01-01,2,0,0
CUST-005373,48.0,13.6,7,0,115.09,49.73,16.0,3.0,1,0,0.195,3,FREE,United Kingdom,social,desktop,2026-01-01,2,0,0
CUST-002341,49.0,15.8,4,1,46.73,13.44,2.0,1.0,1,1,0.171,6,free,United Kingdom,paid_search,desktop,2026-01-01,0,1,1
CUST-000972,38.0,15.6,8,0,61.68,17.81,244.0,12.0,3,1,0.145,6,free,Germany,social,mobile,2026-01-01,0,1,1
CUST-003496,37.0,19.6,8,0,27.03,7.49,1.0,0.0,0,1,0.257,11,free,uk,organic,mobile,2026-01-01,2,0,0
CUST-001497,38.0,20.2,1,0,42.89,0.0,604.0,2.0,0,0,0.536,1,FREE,GB,organic,mobile,2026-01-01,0,1,1
CUST-003694,31.0,12.4,76,26,67.79,12.88,6.0,0.0,0,3,0.18,4,premium,United Kingdom,social,mobile,2026-01-01,18,0,0
CUST-009364,33.0,2.6,7,7,90.3,29.48,9.0,,0,1,0.242,5,premium,Ireland,paid_search,desktop,2026-01-01,4,0,0
CUST-010744,27.0,35.8,31,3,58.14,15.56,10.0,0.0,0,11,0.232,8,free,France,organic,desktop,2026-01-01,0,1,1
CUST-010084,52.0,6.2,5,5,65.14,20.98,110.0,0.0,0,0,0.181,1,basic,Ireland,organic,mobile,2026-01-01,5,0,0
CUST-000748,18.0,12.0,31,6,114.49,50.46,0.0,1.0,0,2,0.223,5,free,France,affiliate,desktop,2026-01-01,12,0,0
CUST-007029,54.0,16.6,16,2,24.09,7.38,0.0,0.0,0,0,0.515,6,free,United Kingdom,social,mobile,2026-01-01,2,0,0
CUST-011197,32.0,7.3,3,1,56.37,10.1,38.0,0.0,0,0,0.363,0,free,France,organic,desktop,2026-01-01,4,0,0
CUST-000625,30.0,22.1,5,1,54.63,10.67,265.0,4.0,0,0,0.097,3,free,UK,affiliate,mobile,2026-01-01,2,0,0
CUST-002125,49.0,27.0,46,3,56.52,8.77,10.0,0.0,0,0,0.187,8,basic,Poland,affiliate,mobile,2026-01-01,4,0,0
CUST-008687,50.0,3.9,15,7,24.88,8.24,4.0,0.0,0,0,0.151,2,basic,United Kingdom,organic,mobile,2026-01-01,9,0,0
CUST-000100,44.0,5.8,8,4,50.78,19.38,5.0,5.0,5,0,0.169,2,free,United Kingdom,social,mobile,2026-01-01,3,0,0
CUST-007769,21.0,10.9,11,4,53.37,16.56,35.0,0.0,0,0,0.454,5,premium,GB,organic,desktop,2026-01-01,3,0,0
CUST-003847,40.0,28.0,47,7,50.4,14.46,37.0,5.0,0,5,0.209,6,FREE,Netherlands,paid_search,desktop,2026-01-01,8,0,0
CUST-000539,46.0,19.9,1,0,89.37,0.0,593.0,7.0,0,0,0.031,0,basic,Germany,paid_search,desktop,2026-01-01,0,1,1
CUST-002520,50.0,35.8,14,2,75.71,31.37,117.0,9.0,1,6,0.705,7,basic,United Kingdom,referral,desktop,2026-01-01,2,0,0
CUST-006313,39.0,2.6,4,0,51.38,19.32,3.0,2.0,2,1,0.38,1,free,United Kingdom,affiliate,desktop,2026-01-01,1,0,0
CUST-005793,40.0,14.7,26,7,47.0,20.5,17.0,0.0,0,5,0.169,1,basic,France,paid_search,mobile,2026-01-01,8,0,0
CUST-002716,61.0,17.2,14,1,43.22,13.56,45.0,1.0,0,1,0.055,2,free,United Kingdom,paid_search,mobile,2026-01-01,3,0,0
CUST-010097,29.0,34.8,58,1,43.11,18.95,7.0,2.0,0,10,0.172,5,free,Germany,social,mobile,2026-01-01,2,0,0
CUST-006023,29.0,12.1,7,3,27.39,9.2,45.0,1.0,1,0,0.441,0,free,United Kingdom,paid_search,mobile,2026-01-01,1,0,0
CUST-005212,43.0,6.0,14,6,31.72,9.4,35.0,1.0,1,2,0.288,0,basic,Netherlands,social,mobile,2026-01-01,6,0,0
CUST-009053,44.0,2.6,0,0,,,-1.0,5.0,5,0,,4,FREE,Germany,paid_search,desktop,2026-01-01,1,0,0
CUST-004722,30.0,30.0,6,0,46.79,17.37,396.0,7.0,0,0,0.094,4,BASIC,United Kingdom,social,mobile,2026-01-01,0,1,1
CUST-010006,56.0,27.8,102,20,90.96,35.3,22.0,15.0,2,22,0.178,1,premium,Poland,social,desktop,2026-01-01,12,0,0
CUST-011860,44.0,2.6,1,1,21.31,0.0,75.0,1.0,1,0,0.086,5,free,Spain,paid_search,mobile,2026-01-01,1,0,0
CUST-005023,67.0,24.8,4,0,66.38,24.97,374.0,0.0,0,0,0.336,5,basic,Poland,paid_search,desktop,2026-01-01,0,1,1
CUST-005379,36.0,18.0,7,1,28.13,6.46,25.0,0.0,0,3,0.419,6,free,France,organic,mobile,2026-01-01,1,0,0
CUST-009706,23.0,29.1,6,2,52.35,17.16,211.0,3.0,0,3,0.176,5,free,United Kingdom,paid_search,mobile,2026-01-01,1,0,0
CUST-002874,48.0,8.6,8,5,64.32,14.99,0.0,4.0,3,1,0.472,7,free,Netherlands,organic,mobile,2026-01-01,3,0,0
CUST-006685,30.0,14.1,16,2,61.56,29.76,37.0,0.0,0,4,0.343,3,free,United Kingdom,affiliate,mobile,2026-01-01,2,0,0
CUST-001007,,30.7,164,14,59.16,26.08,7.0,5.0,1,17,0.159,4,premium,Netherlands,affiliate,mobile,2026-01-01,16,0,0
CUST-003823,47.0,20.1,19,5,28.96,8.26,1.0,3.0,1,0,0.351,0,free,France,affiliate,mobile,2026-01-01,3,0,0
CUST-009337,19.0,14.7,23,4,70.03,29.16,7.0,0.0,0,6,0.383,4,basic,France,social,mobile,2026-01-01,1,0,0
CUST-004992,33.0,19.3,0,0,,,-1.0,0.0,0,0,,0,free,Spain,social,desktop,2026-01-01,0,1,1
CUST-005666,47.0,17.1,4,0,54.55,19.96,404.0,0.0,0,0,0.335,2,free,France,social,mobile,2026-01-01,0,1,0
CUST-008508,54.0,19.5,15,0,42.53,11.37,347.0,1.0,0,4,0.485,5,free,United Kingdom,paid_search,desktop,2026-01-01,0,1,1
CUST-002814,18.0,34.7,18,0,30.0,9.39,462.0,2.0,0,1,0.194,5,free,Poland,organic,mobile,2026-01-01,0,1,0
CUST-010856,42.0,29.6,16,1,73.91,23.66,29.0,0.0,0,0,0.236,5,free,DE,affiliate,mobile,2026-01-01,3,0,0
CUST-001622,40.0,1.1,3,0,55.33,14.73,0.0,2.0,2,0,0.239,5,basic,Spain,organic,mobile,2026-01-01,2,0,0
